sample_id,source,geo_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,required_support_pressure_MPa,required_case_id,label_status
stage2_g02,stage2,g02,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,>2.6,s2_g02_p08,exceedance_gt_2.6MPa_uncontrolled
stage3_g017,stage3,g017,1184.33,0.817253,4.59292,26.3839,1.34525,0.764076,28.8223,0.967807,>2.6,s3_g017_p08,exceedance_gt_2.6MPa_uncontrolled
stage4_g023,stage4,g023,1054.03,0.875981,5.985,23.2566,1.31965,0.806865,27.9958,0.931439,>2.6,s4_g023_p08,exceedance_gt_2.6MPa_uncontrolled
stage4_g028,stage4,g028,1194.55,1.00934,3.23688,26.6293,0.666844,0.823795,25.2885,1.06803,>2.6,s4_g028_p08,exceedance_gt_2.6MPa_uncontrolled
stage4_g035,stage4,g035,1096.46,1.24466,5.36788,24.2749,0.876357,0.73618,27.1867,0.759728,>2.6,s4_g035_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g001,stage5_boundary,g001,1083.44,0.922112,4.88594,23.9624,0.748012,0.804211,25.1478,1.00913,>2.6,s5b_g001_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g002,stage5_boundary,g002,1144.1,0.822449,4.608,25.4183,1.21321,0.707998,28.0181,0.845484,>2.6,s5b_g002_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g003,stage5_boundary,g003,1170.95,0.853216,5.7578,26.0628,0.840543,0.767229,25.8236,0.936332,>2.6,s5b_g003_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g004,stage5_boundary,g004,1194.44,1.21635,5.98361,26.6266,0.773297,0.749579,26.579,0.819417,>2.6,s5b_g004_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g005,stage5_boundary,g005,1180.14,1.04262,4.96858,26.2832,0.692636,0.636695,28.5474,0.976282,>2.6,s5b_g005_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g006,stage5_boundary,g006,1188.84,1.34399,5.15549,26.4921,1.13732,0.822998,25.3968,0.605499,>2.6,s5b_g006_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g014,stage5_boundary,g014,1068.8,0.909497,5.31903,23.6111,0.958642,0.729598,25.7522,0.998914,>2.6,s5b_g014_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g015,stage5_boundary,g015,1162.29,1.29271,5.20484,25.8549,1.289,0.606389,26.0094,1.05339,>2.6,s5b_g015_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g016,stage5_boundary,g016,1132.16,0.867546,4.63799,25.1319,1.24849,0.651788,30.0877,0.875963,>2.6,s5b_g016_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g018,stage5_boundary,g018,1098.87,1.09946,5.22396,24.3328,0.937419,0.618753,27.9447,0.653781,>2.6,s5b_g018_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g020,stage5_boundary,g020,1110.81,0.953899,5.77696,24.6195,1.25535,0.77568,27.0489,0.633004,>2.6,s5b_g020_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g021,stage5_boundary,g021,1156.59,0.801038,4.23033,25.7181,1.33342,0.816388,29.8631,0.765211,>2.6,s5b_g021_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g022,stage5_boundary,g022,1150.99,1.30412,4.36947,25.5837,0.642006,0.796191,25.4192,0.882172,>2.6,s5b_g022_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g023,stage5_boundary,g023,1048.95,0.876477,4.85753,23.1349,0.977313,0.861844,26.6191,0.784082,>2.6,s5b_g023_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g026,stage5_boundary,g026,1119.18,1.1856,4.55396,24.8203,1.05321,0.691086,27.6164,0.501224,>2.6,s5b_g026_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g027,stage5_boundary,g027,1197.86,1.08372,4.28752,26.7086,0.872681,0.626664,28.7432,0.683906,>2.6,s5b_g027_p08,exceedance_gt_2.6MPa_uncontrolled
