Support,Mean,Std,Max,P95,WarningHours_20_25,DangerHours_gt25,NonzeroHours,UsedInFigure,support_id,monitoring_group,danger_hour_ratio,warning_or_danger_hours,high_load_hour_ratio
1号支架,16.280336380744856,3.248116634702718,24.516666666666666,21.715,1032.0,0.0,7009.0,True,1.0,long_duration,0.0,1032.0,0.147239263803681
8号支架,24.50994721072906,5.055514367652333,32.18,28.76,384.0,6001.0,6961.0,True,8.0,long_duration,0.8620887803476512,6385.0,0.9172532682085908
9号支架,24.932962619489228,5.14592334575193,34.905,30.215,1032.0,5377.0,6961.0,True,9.0,long_duration,0.7724464875736244,6409.0,0.9207010486998994
10号支架,31.78473177343416,8.404999097537706,38.905,36.745,312.0,6025.0,6961.0,True,10.0,long_duration,0.8655365608389599,6337.0,0.9103577072259733
11号支架,20.80016336139249,3.875759833510396,33.31,27.03,5785.0,912.0,6961.0,True,11.0,long_duration,0.13101565866973136,6697.0,0.962074414595604
12号支架,28.60617206448851,6.810120470185996,38.145,32.02,312.0,6145.0,6961.0,True,12.0,long_duration,0.8827754632955035,6457.0,0.9275966096825169
17号支架,2.0667912683692395,7.675372828572353,35.93,26.93,24.0,456.0,481.0,True,17.0,short_or_edge,0.9480249480249481,480.0,0.997920997920998
25号支架,0.8594649736053643,3.166331626660216,12.665,12.5,0.0,0.0,481.0,True,25.0,short_or_edge,0.0,0.0,0.0
29号支架,0.9077692966186331,3.920128199471652,35.405,10.405,24.0,48.0,457.0,True,29.0,short_or_edge,0.1050328227571116,72.0,0.1575492341356674
127号支架,1.880972321301184,7.085103853751035,33.395,27.155,0.0,456.0,481.0,True,127.0,short_or_edge,0.9480249480249481,456.0,0.9480249480249481
128号支架,1.6319795976601514,6.181406814520728,31.465,24.76,48.0,337.0,481.0,True,128.0,short_or_edge,0.7006237006237006,385.0,0.8004158004158004
129号支架,0.9021229847339136,4.04001256179963,27.155,3.86,48.0,49.0,481.0,True,129.0,short_or_edge,0.10187110187110188,97.0,0.20166320166320167
130号支架,,,,,,,,False,130.0,short_or_edge,,0.0,
